おきます	get up
いそぎます	hurry
まちます	wait
とめます	stop, park
まがります	turn
もちます	hold
とります	take, pass
てつだいます	help (with a task)
よびます	call
はなします	speak, talk
みせます	show
おしえます	tell
はじめます	start, begin
ふります	rain
コピーします	copy
エアコン	air conditioner
パスポート	passport
なまえ	name
じゅうしょ	address
ちず	map
しお	salt
さとう	sugar
よみかた	how to read, way of rading
～かた	how to ~
ゆっくり	slowly,lesurely
すぐ	immediately
また	again
あとで	later
もう　すこし	a little more
もう～	~ more
いいですよ	sure,/certainly
さあ	right
あれ？	oh!
しんこう　を　みぎ　へ　まがって　ください	turn to the right at the signal.
まっすぐ	staright
これで　おねがいしま	I'd like to play with this.
おつり	change
たちます	stand up
すわります	sit down
つかいます	use
おきます	put
つくります	make,produce
うります	sell
しります	get to know
すみます	be going to live
けんきゅうします	do research
しっています	know
すんでいます	live
しりょう	materials,data
カタログ	catalog
じこくひょう	timetable
ふく	clothes
せいひん	products
ソフト	software
せんもん	speciality,field of study
はいしゃ	dentist,dentist's
とこや	barber,barber's
プレイガイド	ticket agency
どくしん	single,unmarried
とくに	especially
あもいだします	remember,recollect
ごかぞく	your family
いらっしゃいます	be
こうこう	senior high school
わたし	I
わたしたち	we
あなた	you
あのひと	that person,he,she
みなさん	ladies and gentlemen,all of you
さん	Mr.,Ms.
せんせい	teacher,instructor
きょうし	teacher,instructor
がくせん	student
かいしゃいん	company employee
しゃいん	employee of ~ Company
ぎんこういん	bank employee
いしゃ	medical doctor
けんきゅうしゃ	reseacher,scholar
エンジニア	engineer
だいがく	university
びょういん	hospital
でんき	electricity,light
だれ	who
さい	-years old
なんさい　おいくつ	how old
はい	yes
いいえ	no
しつれいですが	Excuse me, but
おなまえは？	May I have your name?
はじめまして	How do you do?
どうぞよろしくおねがいします	Pleased to meet you.
こちらは～さんです	This is Mr/Ms.~
～からきました	I came from~
これ	this
それ	that
あれ	that
この	this~, this~ hear
その	that~,that~ near you
あの	that~,that~ over there
ほん	book
じしょ	dictionary
ざっし	magazine
しんぶん	newspaper
ノート	notebook
てちょう	pocket notebook
めいし	business card
カード	card
テレホンカード	telephone card
えんぴつ	pencil
ボールペン	ballpoint pen
シャープペンシル	mechanical pencil, propelling pencil
かぎ	key
とけい	watch, clock
かさ	umbrella
かばん	bag, briefcase
テープ	tape
テープレコーダー	tape recorder
テレビ	television
ラジオ	radio
カメラ	camera
コンピューター	computer
じどうしゃ	automobile, car
つくえ	desk
いす	chair
チョコレート	chocolate
コーヒー	coffee
えいご	the English language
にほんご	the Japanese language
～ご	~language
なん	what
そう	so
ちがいます	No, it isn't./You are wrong.
そうですか	I see./Is that so?
あのう	well
ほんのきもちです	It's nothing./It's a token of my gratitude.
どうぞ	Please./Here you are.
どうも	Well, thanks
どうもありがとうございます	Thank you
これからおせわになります	I hope for your kind assistance hereafter
こちらこそよろしく	I am pleased to meet you.
ここ	here, this place
そこ	there, that place near you
あそこ	that place over there
どこ	where, what place
こちら	this way, this place
そちら	that way, that place near you
あちら	that way, that place over there
どちら	which eay, where
きょうしつ	classroom
しょくどう	dining hall, canteen
じむしゃ	office
かいぎしつ	conference room, assembly room
うけつけ	reception desk
ロビー	lobby
へや	room
かいだん	staircase
エレベーター	elevator, lift
エスカレーター	escalator
おくに	country
かいしゃ	company
うち	house, home
でんわ	telephone, telephone call
くつ	shoes
ネクタイ	necktie
ワイン	wine
たばこ	tobaco, cigarette
うりば	department, counter
ちか	basement
